"Time","x"
9.635332271E2,1.003866577E3
9.645338061E2,1.003864670E3
9.655343811E2,1.003863373E3
9.665349561E2,1.003863373E3
9.675355341E2,1.003864212E3
9.685361091E2,1.003864212E3
9.695366841E2,1.003863297E3
9.705372611E2,1.003860931E3
9.715378381E2,1.003860245E3
9.725384151E2,1.003859100E3
9.735389921E2,1.003858948E3
9.745399741E2,1.003858948E3
9.755401451E2,1.003863831E3
9.765407241E2,1.003870087E3
9.775413011E2,1.003875732E3
9.785418751E2,1.003881683E3
9.795424531E2,1.003889084E3
9.805430331E2,1.003893051E3
9.815438131E2,1.003894043E3
9.825441831E2,1.003894501E3
9.835447591E2,1.003898697E3
9.845453381E2,1.003899460E3
9.855459111E2,1.003899765E3
9.865464851E2,1.003899765E3
9.875470621E2,1.003899765E3
9.885477361E2,1.003901520E3
9.895482121E2,1.003899002E3
9.905487891E2,1.003898773E3
9.915493691E2,1.003887558E3
9.925499481E2,1.003880005E3
9.935505241E2,1.003870163E3
9.945511021E2,1.003861923E3
9.955521071E2,1.003849564E3
9.965522481E2,1.003846664E3
9.975528261E2,1.003838654E3
9.985534021E2,1.003828125E3
9.995539831E2,1.003825989E3
1.000554557E3,1.003824844E3
1.001555135E3,1.003824844E3
1.002555708E3,1.003823853E3
1.003556288E3,1.003822784E3
1.004556863E3,1.003818130E3
1.005557438E3,1.003818130E3
1.006558016E3,1.003818817E3
1.007558592E3,1.003823013E3
1.008559164E3,1.003823776E3
1.009559742E3,1.003823776E3
1.010560317E3,1.003819046E3
1.011560895E3,1.003814087E3
1.012561471E3,1.003810883E3
1.013562050E3,1.003806458E3
1.014562629E3,1.003805923E3
1.015563198E3,1.003805923E3
1.016564151E3,1.003808289E3
1.017564355E3,1.003811340E3
1.018564930E3,1.003815079E3
1.019565507E3,1.003815079E3
1.020566084E3,1.003810806E3
1.021566664E3,1.003806000E3
1.022567235E3,1.003803940E3
1.023567933E3,1.003803940E3
1.024568391E3,1.003803940E3
1.025568971E3,1.003803177E3
1.026569550E3,1.003803177E3
1.027570118E3,1.003802795E3
1.028570698E3,1.003802795E3
1.029571273E3,1.003801727E3
1.030572212E3,1.003803101E3
1.031572426E3,1.003802795E3
1.032573001E3,1.003802795E3
1.033573579E3,1.003802795E3
1.034574157E3,1.003803101E3
1.035574729E3,1.003803558E3
1.036575307E3,1.003806915E3
1.037575886E3,1.003809814E3
1.038576463E3,1.003813629E3
1.039577505E3,1.003816071E3
1.040577611E3,1.003822250E3
1.041578194E3,1.003823013E3
1.042578770E3,1.003826447E3
1.043579342E3,1.003830872E3
