"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.090818129E1,2.311513983E-3,4.030723292E-3,-2.509566486E-2
7.115787129E1,-7.917020358E-3,7.450083643E-4,-3.511311471E-2
7.140756129E1,-2.768747974E-4,-1.610177010E-3,-2.928928792E-2
7.165725150E1,1.940782238E-3,-3.562818132E-3,-2.767019391E-2
7.190694150E1,2.083372073E-3,-6.738568861E-3,-3.064057946E-2
7.215663150E1,2.381552663E-4,-1.245511752E-3,-1.956010580E-2
7.240632250E1,5.448800996E-3,9.301275574E-4,-3.651059926E-2
7.265601300E1,6.621834682E-3,-2.466794103E-3,-3.287655473E-2
7.290570300E1,-3.726101629E-3,-1.121623870E-3,-2.556051850E-2
7.315539300E1,3.236397319E-3,-3.554741666E-4,-2.480505824E-2
7.340508300E1,-6.163157159E-3,5.151360445E-3,-3.167962968E-2
7.365477342E1,-2.373608672E-3,1.548488885E-3,-3.650299788E-2
7.390446342E1,-8.779521212E-3,-2.592874691E-3,-3.170418799E-2
7.415415342E1,5.130858645E-3,3.787680119E-3,-2.198085308E-2
7.440384342E1,-2.181596160E-3,3.670662716E-3,-2.706676126E-2
7.465353400E1,-2.240744401E-3,-9.439598769E-5,-2.794793665E-2
7.490322500E1,-8.615109385E-3,-2.440883629E-3,-1.971564174E-2
7.515291500E1,-5.004065428E-3,-8.638201319E-3,-2.672352970E-2
7.540260500E1,5.172227696E-3,2.313706689E-3,-2.836776674E-2
7.565229429E1,1.034096533E-2,-3.615041077E-4,-2.506116629E-2
7.590198429E1,-3.872620063E-3,-7.595843766E-3,-3.448629320E-2
7.615167529E1,-3.036139319E-3,-8.585357107E-3,-3.164513111E-2
7.640136529E1,2.889209753E-3,-1.323517263E-3,-2.118270814E-2
7.665105588E1,-5.092559382E-3,3.986375816E-3,-3.288883388E-2
7.690074587E1,-6.460268805E-3,1.376032569E-3,-2.450100303E-2
7.715043687E1,1.316707998E-2,1.927680820E-3,-2.749594688E-2
7.740012688E1,-2.825740054E-3,-2.879644074E-3,-3.782563806E-2
7.764981637E1,8.563521411E-4,-9.311325476E-4,-3.035406590E-2
7.789950637E1,3.376397020E-3,1.454969980E-3,-2.917000473E-2
7.814919737E1,5.164233455E-3,-3.563147038E-4,-2.585054040E-2
7.839888738E1,1.368641322E-3,-6.795012765E-3,-2.869345665E-2
7.864857750E1,7.822295465E-4,1.743657980E-3,-3.003773153E-2
7.889826750E1,1.698999871E-3,1.654396579E-3,-2.615751922E-2
7.914795850E1,5.006084545E-3,2.202938497E-3,-2.016119957E-2
7.939764850E1,6.961247278E-3,-6.739135310E-3,-2.106634855E-2
7.964733837E1,8.232523324E-3,-4.901921880E-3,-2.779883265E-2
7.989702837E1,-2.166576125E-4,-5.403521620E-3,-2.257726908E-2
8.014671937E1,-4.362516236E-3,-4.344280232E-3,-2.600958467E-2
8.039640938E1,-3.365721283E-3,-2.008591667E-3,-2.628732741E-2
8.064609954E1,-3.709099023E-3,-2.678572945E-4,-2.418817699E-2
8.089578954E1,-1.269806019E-2,-8.362432010E-4,-2.956586123E-2
8.114548054E1,2.335560657E-3,-8.754341640E-3,-2.313450873E-2
8.139517054E1,-3.354922207E-3,6.037981063E-4,-2.375080526E-2
8.164486067E1,-6.860117856E-3,5.037577283E-3,-2.345025837E-2
8.189455167E1,6.155318236E-3,-3.797364570E-3,-2.810347259E-2
8.214424167E1,2.447735835E-3,-7.473472506E-4,-2.600841522E-2
8.239393167E1,-5.133325439E-3,-3.236561771E-3,-2.407824934E-2
8.264362312E1,-2.515344266E-3,4.138439968E-3,-3.032015204E-2
8.289331313E1,-1.116516693E-3,-7.588406838E-4,-1.714988351E-2
8.314300312E1,1.113343664E-2,-2.968229391E-3,-2.342862368E-2
8.339269312E1,-1.856892966E-3,-4.153606184E-3,-3.841094434E-2
