"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.043360129E1,1.767068869E-3,-3.445653711E-3,-2.540880814E-6
5.068329087E1,-7.271175273E-4,1.100441441E-4,-1.340486924E-3
5.093298088E1,4.656431265E-4,-7.858313620E-5,-1.214744989E-3
5.118267087E1,4.345998168E-4,-1.767939422E-3,1.468724106E-3
5.143236087E1,-7.276330143E-4,-2.788603306E-4,-1.017265953E-3
5.168205017E1,9.956285357E-4,1.499638893E-4,1.464009518E-3
5.193174017E1,-9.915982373E-4,7.061846554E-5,1.480198000E-3
5.218143017E1,1.721717417E-4,-2.268172801E-3,-2.875486389E-3
5.243111917E1,-3.391676582E-4,-5.319081247E-4,-1.076275948E-3
5.268080979E1,5.631754175E-4,3.495104611E-4,-2.317695878E-3
5.293049979E1,3.388328478E-4,4.386943765E-4,3.354727058E-3
5.318018979E1,-7.576020434E-4,-4.620221443E-4,2.924429951E-3
5.342987979E1,3.280400531E-3,3.798180260E-4,2.736493479E-4
5.367956962E1,-1.494201366E-3,3.623189405E-4,-7.023017388E-4
5.392925963E1,-5.964743905E-4,-6.313109770E-4,1.286540646E-4
5.417894962E1,-4.377625883E-4,-1.380410977E-3,-2.103409497E-3
5.442863962E1,-1.610130072E-3,1.014956739E-3,1.056378242E-4
5.467832987E1,-1.304176636E-3,-2.721329685E-3,-2.060909523E-3
5.492801987E1,-2.609952353E-4,5.113249645E-4,-2.817977220E-4
5.517770888E1,1.081889495E-3,-1.449272968E-4,8.425293490E-4
5.542739888E1,1.633862732E-3,1.366705634E-3,-2.825108822E-4
5.567708887E1,-4.796292633E-4,-7.264935412E-4,8.092143107E-4
5.592677887E1,5.930131301E-4,-1.135787927E-3,1.021081582E-3
5.617646888E1,-2.257679589E-4,-1.503966749E-3,1.361716073E-3
5.642615887E1,-1.778585371E-3,5.553667434E-4,-1.497010235E-4
5.667584850E1,-2.791842446E-3,-1.161000226E-3,1.898841001E-4
5.692553850E1,-1.034274232E-3,1.234868541E-3,2.628718503E-4
5.717522850E1,-4.327241331E-4,1.065027900E-4,-1.483796397E-3
5.742491850E1,2.442148048E-3,3.353687935E-4,8.962964639E-4
5.767460892E1,-2.248678356E-5,1.218699850E-3,-1.464323141E-4
5.792429892E1,9.738039225E-4,1.015609130E-3,1.518297940E-3
5.817398892E1,3.446917981E-5,4.712240770E-4,-9.809792973E-4
5.842367892E1,-9.789504111E-4,2.175585832E-3,-1.352481544E-3
5.867336862E1,2.099727280E-3,1.183687709E-3,-2.521008486E-3
5.892305862E1,-1.985870302E-3,-1.097989269E-3,1.267218031E-3
5.917274862E1,1.929099672E-4,8.960217237E-4,1.054569846E-3
5.942243863E1,1.601618715E-4,-7.859268226E-4,-5.090490449E-4
5.967212850E1,-3.942681942E-3,-8.092313074E-4,-2.544329036E-4
