"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.762879862E1,3.906875610E-2,2.165995789E-1,9.775870972E0
9.787848962E1,3.981719971E-2,2.106120300E-1,9.777816925E0
9.812818063E1,4.176315308E-2,2.158511353E-1,9.785600739E0
9.837787063E1,4.026626587E-2,2.136058044E-1,9.780211945E0
9.862756212E1,4.176315308E-2,2.124082947E-1,9.778265991E0
9.887725212E1,4.266128540E-2,2.127076721E-1,9.777367859E0
9.912694312E1,3.787124634E-2,2.119592285E-1,9.779613190E0
9.937663413E1,2.933898926E-2,2.085163879E-1,9.781110077E0
9.962632417E1,4.191284180E-2,2.151026917E-1,9.787846069E0
9.987601517E1,3.697311401E-2,2.118095398E-1,9.765841827E0
1.001257062E2,3.876937866E-2,2.115101624E-1,9.783056030E0
1.003753962E2,3.772155762E-2,2.462379456E-1,9.787097626E0
1.006250865E2,4.041595459E-2,2.034269714E-1,9.780661011E0
1.008747765E2,4.326004028E-2,2.067201233E-1,9.785451050E0
1.011244675E2,4.790039063E-2,2.103126526E-1,9.773925018E0
1.013741585E2,3.891906738E-2,2.170486450E-1,9.802216187E0
1.016238489E2,4.909790039E-2,2.070195007E-1,9.792336731E0
1.018735399E2,4.775070190E-2,2.014810181E-1,9.772877197E0
1.021232309E2,3.607498169E-2,2.137554932E-1,9.779613190E0
1.023729219E2,4.116439819E-2,2.201921082E-1,9.778116302E0
1.026226124E2,3.876937866E-2,2.189945984E-1,9.770631866E0
1.028723034E2,4.221221924E-2,2.194436646E-1,9.783505096E0
1.031219944E2,3.218307495E-2,2.140548706E-1,9.776469727E0
1.033716844E2,3.847000122E-2,2.130070496E-1,9.787097626E0
1.036213754E2,4.146377563E-2,2.157014465E-1,9.772877197E0
1.038710664E2,3.832031250E-2,2.158511353E-1,9.777218170E0
1.041207574E2,4.340972900E-2,2.115101624E-1,9.779014435E0
1.043704474E2,4.370910645E-2,2.128573608E-1,9.780511322E0
1.046201382E2,3.682342529E-2,2.137554932E-1,9.780661011E0
1.048698293E2,4.685256958E-2,2.179467773E-1,9.774074707E0
1.051195203E2,4.385879517E-2,2.107617188E-1,9.771529999E0
1.053692102E2,4.221221924E-2,2.103126526E-1,9.782157898E0
1.056189005E2,3.712280273E-2,2.136058044E-1,9.784702606E0
1.058685915E2,4.834945679E-2,2.104623413E-1,9.782008209E0
1.061182825E2,4.550537109E-2,2.315684509E-1,9.793833618E0
1.063679725E2,4.370910645E-2,2.273771667E-1,9.784702606E0
1.066176640E2,4.475692749E-2,2.107617188E-1,9.780661011E0
1.068673550E2,2.963836670E-2,2.076182556E-1,9.780511322E0
1.071170460E2,4.505630493E-2,2.110610962E-1,9.779912567E0
1.073667370E2,3.697311401E-2,2.152523804E-1,9.779014435E0
1.076164279E2,4.311035156E-2,2.145039368E-1,9.780211945E0
1.078661189E2,3.757186890E-2,2.091151428E-1,9.778715057E0
1.081158099E2,4.790039063E-2,2.192939758E-1,9.781858521E0
1.083655009E2,3.412902832E-2,2.180964661E-1,9.782157898E0
1.086151904E2,3.966751099E-2,2.149530029E-1,9.784552917E0
