,acc_mobile_x,acc_mobile_y,acc_mobile_z,gyr_mobile_x,gyr_mobile_y,gyr_mobile_z,mag_mobile_x,mag_mobile_y,mag_mobile_z,prox_mobile_distance,loc_mobile_latitude,loc_mobile_longitude,loc_mobile_height,loc_mobile_velocity,loc_mobile_direction,loc_mobile_horizontalAccuracy,loc_mobile_verticalAccuracy,labelWalking,labelRunning,labelSitting,labelLunges,labelStanding,labelPushups,labelPullups,labelDance,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6
1970-01-01 00:13:32,-1.827599487333333,-5.739664307000001,-3.1350805666666672,-0.751907203475,-0.07566338774999992,-0.35812602952499994,-18.709594725,26.677871705,-30.638534545,2.6470588235294117,52.32088813,4.874108881000001,2.20217514,3.2300000189999998,266.1328125,17.46332803,17.46332803,0,1,0,0,0,0,0,0,0.5583157489628845,0.6857646008964485,-0.12724313750167093,0.3458649727520995,0.4112615566181406,0.1705405066292876
1970-01-01 00:13:33,5.4209770213,-19.79760567,12.299248578499999,-0.32217086112500004,-0.796300847025,1.0510383696,-15.296607972999999,27.3901367175,-32.908508299999994,2.6470588235294117,52.32087937,4.874061523,2.196315765,3.160000086,261.2109375,16.43432988,16.43432988,0,1,0,0,0,0,0,0,0.5873905359627419,0.639837038034668,0.037309409229965514,0.405256061756697,0.3769740448134004,-0.27006238141462774
1970-01-01 00:13:34,1.416005401833333,-13.272300110333333,-3.366000365333333,-0.3764328065,2.0791287125,-1.5357482208999995,-12.898574827000001,28.6667404175,-33.1531677275,2.6470588235294117,52.32086278,4.8740101419999995,2.146755219,3.2300000189999998,257.34375,14.53432593,14.53432593,0,1,0,0,0,0,0,0,0.5366621186821265,0.6756741920735133,-0.1222203820217562,0.32619576300385883,0.2591814973981274,0.4871697360532358
1970-01-01 00:13:35,0.18232086200000008,-7.3748638920000005,1.39951469425,-0.3959936725,-1.45671245455,0.03759124318861209,-15.3094177255,31.5012207,-31.438186645,2.6470588235294117,52.32084631,4.873951133,2.100185394,3.319999933,256.9921875,12.99366952,12.99366952,0,1,0,0,0,0,0,0,0.5297427455420841,0.6506079356897764,-0.0781479755175919,0.3104952932648495,0.15962957417863652,-0.11454970306415131
1970-01-01 00:13:36,-0.2698887636666665,-19.041652677333328,-0.4975154113333333,-0.036419570474999996,1.05389259765,-1.9201518,-16.3866424575,29.785469055,-32.6812744175,2.6470588235294117,52.32083729,4.873896483,2.008022308,3.319999933,260.15625,10.0,10.0,0,1,0,0,0,0,0,0,0.5437748229019378,0.6501213668985328,-0.10579797889539155,0.30616076518164465,-0.017953675317572318,0.3645741184944268
1970-01-01 00:13:37,-3.8869670115,-1.363290024,-1.07633674636,0.41265143817500005,-1.3969228714750002,1.700620263775,-13.2391204825,30.081100465,-32.10346985,2.6470588235294117,52.32083151,4.873840241,2.045864105,3.25,264.0234375,10.0,10.0,0,1,0,0,0,0,0,0,0.5563031493135377,0.6165206788084648,-0.06075630902146055,0.25834984009897366,-0.0587607853863549,-0.5234887112139349
1970-01-01 00:13:38,1.2562376416666663,-11.258986818,9.131610716,-0.4326105266250001,0.853676870525,-1.1725660862250002,-13.53164672925,29.5983963,-34.2627716075,2.6470588235294117,52.32082397,4.873779975,1.944545746,3.25,266.484375,10.0,10.0,0,1,0,0,0,0,0,0,0.5835702923430726,0.556743904001497,0.02251318366966655,0.3451359906305286,-0.027292716959929797,0.24078246848099755
1970-01-01 00:13:39,-7.009398882,-2.479518814,-2.26658660865,0.8871055003299999,-0.643459141,1.4054242708250002,-16.905792237500002,28.928710935,-32.608642575,2.6470588235294117,52.3208137,4.873728259,1.641506195,3.25,262.96875,10.0,10.0,0,1,0,0,0,0,0,0,0.551567502407806,0.5819433715908733,-0.06786432931874067,0.2595077975206808,-0.10018778844749633,-0.49483424979402346
1970-01-01 00:13:40,6.716283415333332,-20.928329316666666,7.344876253,-1.2115485964999997,0.91855146725,-1.027939096075,-19.3424758925,28.435371395,-32.1477508575,2.6470588235294117,52.32080607,4.873678051000001,1.715724945,3.099999905,262.265625,10.0,10.0,0,1,0,0,0,0,0,0,0.5435775417609772,0.5357854345505658,-0.07219771861636227,0.44893670718280504,0.007824055917091972,0.391764469045802
1970-01-01 00:13:41,-2.4392525495,1.5882721710000005,-3.5114728545,0.9580952675,0.0256068705000001,1.20670482495,-14.311698915,29.176353455,-33.522094727500004,2.6470588235294117,52.32080075,4.873627508,1.299648285,3.099999905,267.5390625,10.0,10.0,0,1,0,0,0,0,0,0,0.5433468822777876,0.5072727715889006,-0.09763193882191877,0.3075879556964877,-0.056549012116495816,-0.4088254661677526
