,acc_mobile_x,acc_mobile_y,acc_mobile_z,gyr_mobile_x,gyr_mobile_y,gyr_mobile_z,mag_mobile_x,mag_mobile_y,mag_mobile_z,prox_mobile_distance,loc_mobile_latitude,loc_mobile_longitude,loc_mobile_height,loc_mobile_velocity,loc_mobile_direction,loc_mobile_horizontalAccuracy,loc_mobile_verticalAccuracy,labelWalking,labelRunning,labelSitting,labelLunges,labelStanding,labelPushups,labelPullups,labelDance
1970-01-01 00:54:50,6.698071289000001,-9.538614348333333,5.531696778266667,-0.323951478955,,-0.43048553838999976,-18.5648498525,22.45901489225,-34.4586639425,,52.31855151,4.873454757,2.027126312,0.5500000119,229.5703125,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:51,-1.0272388454999994,-1.9416872405,-4.767585754500001,0.035067692375000015,1.62412007915,-0.351185396225,-3.7577819835125,29.99142456,-31.7763061525,,52.31855029,4.873445537,2.29391098,0.5299999714,283.0078125,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:52,12.265543671666668,-14.481934660333334,1.0897338866666668,-0.2716360204499997,1.02776840325,0.029095638497500187,10.60890197775,29.291007997500003,-27.29049682695,,52.31854924,4.873440675,2.439235687,0.400000006,316.0546875,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:53,1.6692537689999998,3.32047004685,-2.22624549841,-0.9965972899250001,0.63327354175,1.8957126662250001,10.5178833025,28.6592483525,-29.986923217500006,,52.31854786,4.873437238999999,2.267299652,0.2700000107,275.2734375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:54,5.21859787095,-17.474761048666668,-1.7961149596666666,-0.43203157175,-1.15693107225,0.818225257225,-1.2708511345500002,45.6460723875,-8.0294799815,,52.31854899,4.87343573,2.251552582,0.200000003,358.2421875,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:55,3.7169954695,-11.8364110585,7.760686569500001,1.137978002315,,-1.1309276818749998,16.74076843175,30.355979920000006,-27.675064085,,52.3185469,4.873427851000001,1.993801117,0.2700000107,274.21875,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:56,3.057491912933333,-1.6709252928666671,-0.5030538939999998,0.10168535275000004,-1.7841928005,1.5140989421750002,-1.0288238540749999,43.54598999,-12.78143310625,,52.31854392,4.873426761,2.145412445,0.349999994,207.0703125,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:57,-3.9993083969999987,-9.4770174405,-0.8332422639,0.4873004407499998,0.2876422311324999,-0.7287226729599999,2.119598389000001,37.8559570325,-19.66741943525,,52.31854019,4.873419469,2.088832855,0.4199999869,242.578125,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:58,7.488228150666669,-19.949614563333334,-2.0006396484,-0.7099053693999999,,-0.6959306521099999,-4.575111390250001,36.09828949,-23.753356935,,52.31853793,4.87341838,2.190883636,0.400000006,130.078125,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:54:59,-2.33215026835,0.6550378420000005,-0.9601782989999998,0.0709599183250001,1.5285018682500005,0.734225312445,16.41291046125,29.8528366075,-29.8841400125,,52.31853479,4.873419469,2.014431,0.4600000083,198.984375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:00,3.0521031189433327,-11.736693423,4.689448242999999,1.2507663965,-0.94436214489,0.64650833625,2.0324935895,32.271614075,-29.4462432885,,52.31853307,4.873429025,2.177272797,0.4600000083,110.7421875,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:01,5.701493683,-3.2455508425,11.536958772,-1.1710418911,-0.6732567556175001,1.9908790173099997,-3.1241836555,24.98775863525,-29.708511355,,52.31853085,4.87344671,2.334499359,0.8799999951999999,114.609375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:02,8.701604918333333,-3.532803496533333,0.4729664613333335,,,-1.0920805335,-12.7499465925,33.1258735675,-28.819259645,,52.31853097,4.873471353,2.245815277,1.110000014,87.890625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:03,,-13.013638000999999,5.7675812528999995,-0.5052848236999998,-0.65368296215,-0.6464568226499999,-16.122276307249997,21.26744079725,-28.6920166,,52.31853416,4.87349432,1.991542816,1.419999957,80.5078125,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:04,-3.061533508333333,-6.834487610133332,-1.307231598,0.3364183902500001,-0.2949649095,0.8371315039749999,-22.75923156975,30.3695602425,-22.017974855,,52.31854137,4.873508653,1.762050629,1.419999957,57.65625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:05,13.465772785,-15.31420395,6.216048660499999,0.5188549738024999,,-0.2315812410000001,-18.0139389025,16.20140838625,-36.8471069325,,52.31855637,4.873515442,1.82717514,1.419999957,30.9375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:06,6.492448883,-1.8162730406666665,-1.4064752198333328,-0.22745121285,-0.4990074411499996,-1.594818949725,-25.57274627895,28.762069699999998,-20.84974670375,,52.31857431,4.873519883999999,1.780666351,1.639999986,13.7109375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:07,4.155358885,-12.514725491999998,3.5011443330000005,-1.5162011834,,0.5184917988000001,-10.67970275725,19.27500534,-24.148590089000002,,52.31859153,4.873509742,2.029689789,1.639999986,356.484375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:08,0.2537722779999996,-6.5647984326666675,-0.3887915040000001,0.78393010045,-0.6220184715999999,0.24292380859375,-8.57614898825,32.4314002975,-15.808883667,,52.31859467,4.873500774,2.002040863,0.4799999893,351.9140625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:09,6.239400100449999,-6.8254314425,-1.0836714934999998,-0.505551755375,-0.025321126075000037,1.425128947825,-31.701538087624996,27.3120269775,-12.626113891750002,,52.31859291,4.873496331,1.794033051,0.4799999893,337.5,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:10,6.8615812683333335,-5.490881653,0.6223059079999999,0.47064839305,0.425111115,-1.7082527876750002,-34.617156980000004,7.591285704599999,-20.3772277825,,52.31858277,4.873488452,1.418605804,0.4799999893,197.578125,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:11,-0.8256829835499999,-6.6076343535,1.2461586000500002,-0.8450033739500001,-1.0231128336750002,0.23641592249999996,-14.6232223517,25.317363740749997,-28.834487915,,52.31856852,4.873480909,1.413295746,0.4600000083,202.5,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:12,8.432614287333335,-12.296080169333337,0.49182724,0.686845224425,-0.4397571384249998,0.7908501627500001,-29.76488495,29.0394973775,-24.15081787,,52.31855708,4.873484261000001,1.320522308,0.8999999762,167.6953125,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:13,-1.0633138275,2.775677948,1.88660179155,0.8207539692250001,0.6139824614750002,0.6005606203,-34.86394500750001,25.5271759025,-17.333709715999998,,52.31854983,4.87348577,1.171596527,0.2700000107,116.71875,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:14,11.451985473333332,-10.554202423,1.575623474033333,,2.260029748025,0.8337758333249999,-35.39933014000001,11.3188743595,-23.1149292,,52.31854828,4.873486273,1.079616547,0.3300000131,87.890625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:15,6.729930037000001,-3.2867152404999995,,0.8514310047249999,-0.37997080362499996,0.018828868874999904,-15.395202635999999,33.4436111475,-21.25077819875,,52.31854878,4.873491051,0.9264183044,0.3300000131,22.5,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:16,7.603064345500001,-14.844480741999998,-1.9352506255000002,-0.16575448592500006,-0.9693733455,0.6145256161500001,-34.8611679075,24.4049377425,-11.63194275,,52.31855406,4.873494487,0.7545433044,0.6600000262,27.7734375,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:17,11.856394500333334,-10.358309785333335,-1.0754635618666666,0.853265784475,0.750410139475,0.29319974785,-35.5063323975,20.350521088,-24.016036986750002,,52.31855989,4.873495493,0.6299095154,0.8100000023999999,14.0625,10.0,10.0,0,0,0,0,0,0,0,1
1970-01-01 00:55:18,-3.1005773163,-4.8928752156,-1.380653915,-0.8402116597499998,0.24663290705799995,-0.7159196438500001,-21.683959959250004,22.30917739875,-29.5242157,,52.31856781,4.873498091,0.6397972107,0.8000000119,0.0,10.0,10.0,0,0,0,0,0,0,0,1
