,acc_mobile_x,acc_mobile_y,acc_mobile_z,bar_mobile_x,labelOnTable,labelWalking,labelRunning,labelSitting
1970-01-01 00:00:30.500,0.03457809448,0.2119592285,9.785301361,,1,0,0,0
1970-01-01 00:00:30.750,0.035476226810000004,0.21644989010000001,9.780211945,1005.1404570000001,1,0,0,0
1970-01-01 00:00:31.000,0.04326004028,0.2121089172,9.767787781000001,,1,0,0,0
1970-01-01 00:00:31.250,0.038769378660000006,0.2080673218,9.77961319,,1,0,0,0
1970-01-01 00:00:31.500,0.04236190796,0.2061213684,9.790540466,,1,0,0,0
1970-01-01 00:00:31.750,0.05418731689,0.228874054,9.780211945,1005.1407619999999,1,0,0,0
1970-01-01 00:00:32.000,0.06391708374,0.2209405518,9.778116302,,1,0,0,0
1970-01-01 00:00:32.250,0.025297393799999998,0.2040257263,9.777966614,,1,0,0,0
1970-01-01 00:00:32.500,0.01107696533,0.20222946170000003,9.769434357,,1,0,0,0
1970-01-01 00:00:32.750,0.0419128418,0.21151016239999998,9.768087158,1005.143661,1,0,0,0
1970-01-01 00:00:33.000,0.04400848389,0.2137554932,9.7701828,,1,0,0,0
1970-01-01 00:00:33.250,0.05418731689,0.2134561157,9.780810699,,1,0,0,0
1970-01-01 00:00:33.500,0.06346801758,0.21225860600000002,9.772278442000001,,1,0,0,0
1970-01-01 00:00:33.750,0.0419128418,0.21420455929999999,9.777816925,1005.146332,1,0,0,0
1970-01-01 00:00:34.000,0.04236190796,0.21270767210000002,9.784852295,,1,0,0,0
1970-01-01 00:00:34.250,0.04056564331,0.2180964661,9.776320038,,1,0,0,0
1970-01-01 00:00:34.500,0.03502716064,0.2079176331,9.787696381,,1,0,0,0
1970-01-01 00:00:34.750,0.03667373657,0.20342697140000002,9.774972839,1005.151443,1,0,0,0
1970-01-01 00:00:35.000,0.049247589110000003,0.2038760376,9.783355408,,1,0,0,0
1970-01-01 00:00:35.250,0.03502716064,0.2103126526,9.766141205,,1,0,0,0
1970-01-01 00:00:35.500,0.03742218018,0.2014810181,9.758058014,,1,0,0,0
1970-01-01 00:00:35.750,0.05179229736,0.1863624573,9.771979065,1005.1570130000001,1,0,0,0
1970-01-01 00:00:36.000,0.036823425289999996,0.21315673829999998,9.778116302,,1,0,0,0
1970-01-01 00:00:36.250,0.04071533203,0.2163002014,9.790390777999999,,1,0,0,0
1970-01-01 00:00:36.500,0.04370910644999999,0.2146536255,9.77841568,,1,0,0,0
1970-01-01 00:00:36.750,0.03742218018,0.20911514280000001,9.773925018,1005.162659,1,0,0,0
1970-01-01 00:00:37.000,0.03951782227,0.2056723022,9.785301361,,1,0,0,0
1970-01-01 00:00:37.250,0.041014709469999994,0.2082170105,9.77138031,,1,0,0,0
1970-01-01 00:00:37.500,0.03727249146,0.20971389769999998,9.77961319,,1,0,0,0
1970-01-01 00:00:37.750,0.03921844482,0.2125579834,9.774074707,,1,0,0,0
1970-01-01 00:00:38.000,0.04056564331,0.2174977112,9.778864746,1005.165558,1,0,0,0
1970-01-01 00:00:38.250,0.035775604249999995,0.2375559998,9.787846069,,1,0,0,0
1970-01-01 00:00:38.500,0.038769378660000006,0.214354248,9.781409454,,1,0,0,0
1970-01-01 00:00:38.750,0.05179229736,0.2149530029,9.794582062,,1,0,0,0
1970-01-01 00:00:39.000,0.045804748539999995,0.2100132751,9.762848052999999,1005.1657869999999,1,0,0,0
1970-01-01 00:00:39.250,0.04355941772,0.2125579834,9.787995758,,1,0,0,0
1970-01-01 00:00:39.500,0.03233276367,0.2148033142,9.783954162999999,,1,0,0,0
1970-01-01 00:00:39.750,0.039368133539999996,0.2079176331,9.768236847,,1,0,0,0
1970-01-01 00:00:40.000,0.04206253052,0.20911514280000001,9.781708832,1005.1658630000001,1,0,0,0
1970-01-01 00:00:40.250,0.03158432007,0.20492385859999998,9.779463501,,1,0,0,0
1970-01-01 00:00:40.500,0.03966751099,0.2047741699,9.779762878,,1,0,0,0
1970-01-01 00:00:40.750,0.03382965088,0.2070195007,9.783804474,,1,0,0,0
1970-01-01 00:00:41.000,0.03517684937,0.2130070496,9.785301361,1005.1657869999999,1,0,0,0
1970-01-01 00:00:41.250,0.036524047850000005,0.2210902405,9.781110077000001,,1,0,0,0
1970-01-01 00:00:41.500,0.033081207280000004,0.2098635864,9.794881439,,1,0,0,0
1970-01-01 00:00:41.750,0.038769378660000006,0.217048645,9.785151672000001,,1,0,0,0
1970-01-01 00:00:42.000,0.04535568237,0.2149530029,9.786798248,1005.1631160000001,1,0,0,0
1970-01-01 00:00:42.250,0.042212219239999994,0.21121078489999998,9.783954162999999,,1,0,0,0
1970-01-01 00:00:42.500,0.03218307495,0.21151016239999998,9.781259766,,1,0,0,0
1970-01-01 00:00:42.750,0.04086502075,0.21854553219999998,9.785750427,,1,0,0,0
1970-01-01 00:00:43.000,0.041763153080000004,0.21674926760000002,9.778864746,1005.1618960000001,1,0,0,0
1970-01-01 00:00:43.250,0.03607498169,0.2073188782,9.773475952,,1,0,0,0
1970-01-01 00:00:43.500,0.0390687561,0.2121089172,9.782457275,,1,0,0,0
1970-01-01 00:00:43.750,0.04311035156,0.2177970886,9.77721817,,1,0,0,0
1970-01-01 00:00:44.000,0.039368133539999996,0.2182461548,9.769883423,1005.1594539999999,1,0,0,0
1970-01-01 00:00:44.250,0.03637435913,0.2098635864,9.77721817,,1,0,0,0
1970-01-01 00:00:44.500,0.03248245238999999,0.2173480225,9.774224396000001,,1,0,0,0
1970-01-01 00:00:44.750,0.039368133539999996,0.2154020691,9.77602066,,1,0,0,0
1970-01-01 00:00:45.000,0.03921844482,0.2149530029,9.770631866,1005.157547,1,0,0,0
1970-01-01 00:00:45.250,0.026345214840000002,0.213306427,9.775122527999999,,1,0,0,0
1970-01-01 00:00:45.500,0.054037628170000004,0.2107617188,9.772877197,,1,0,0,0
1970-01-01 00:00:45.750,0.0390687561,0.2179467773,9.787995758,,1,0,0,0
1970-01-01 00:00:46.000,0.0470022583,0.2161505127,9.789193268,1005.157242,1,0,0,0
1970-01-01 00:00:46.250,0.042212219239999994,0.2177970886,9.774374084,,1,0,0,0
1970-01-01 00:00:46.500,0.04281097412,0.2047741699,9.774374084,,1,0,0,0
1970-01-01 00:00:46.750,0.041014709469999994,0.2076182556,9.775122527999999,,1,0,0,0
1970-01-01 00:00:47.000,0.045205993650000005,0.2154020691,9.776619415,1005.157547,1,0,0,0
1970-01-01 00:00:47.250,0.04311035156,0.2148033142,9.782307587,,1,0,0,0
1970-01-01 00:00:47.500,0.0375718689,0.206869812,9.774673462,,1,0,0,0
1970-01-01 00:00:47.750,0.03248245238999999,0.21405487059999997,9.785750427,,1,0,0,0
1970-01-01 00:00:48.000,0.03891906738,0.20178039550000001,9.780062256,1005.157928,1,0,0,0
1970-01-01 00:00:48.250,0.03667373657,0.2134561157,9.776469727,,1,0,0,0
