Time,x
2.818358757E3,1.015275192E3
2.819397063E3,1.015274963E3
2.820435011E3,1.015272980E3
2.821473668E3,1.015270538E3
2.822512521E3,1.015270538E3
2.823550840E3,1.015272827E3
2.824588847E3,1.015276642E3
2.825626979E3,1.015278015E3
2.826665296E3,1.015278168E3
2.827704100E3,1.015278168E3
2.828742213E3,1.015278168E3
2.829780771E3,1.015276489E3
2.830819551E3,1.015273056E3
2.831857807E3,1.015272141E3
2.832896903E3,1.015270920E3
2.833935899E3,1.015270844E3
2.834974209E3,1.015270920E3
2.836012249E3,1.015272827E3
2.837050899E3,1.015272827E3
2.838088582E3,1.015272446E3
2.839127036E3,1.015269012E3
2.840165717E3,1.015268402E3
2.841204640E3,1.015268402E3
2.842242498E3,1.015268860E3
2.843280420E3,1.015272064E3
2.844317726E3,1.015273438E3
2.845355946E3,1.015273438E3
2.846393775E3,1.015272903E3
2.847432556E3,1.015271149E3
2.848471217E3,1.015267181E3
2.849508879E3,1.015267029E3
2.850546728E3,1.015265350E3
2.851585446E3,1.015265350E3
2.852624034E3,1.015269775E3
2.853662265E3,1.015272217E3
2.854699974E3,1.015272217E3
2.855739358E3,1.015272827E3
2.856777532E3,1.015271378E3
2.857816503E3,1.015270920E3
2.858855034E3,1.015269623E3
2.859893314E3,1.015269623E3
2.860932910E3,1.015270538E3
2.861971804E3,1.015271683E3
2.863011434E3,1.015271683E3
2.864050569E3,1.015274582E3
2.865089740E3,1.015274811E3
2.866128151E3,1.015275116E3
2.867167327E3,1.015275192E3
2.868206797E3,1.015275345E3
2.869244164E3,1.015275345E3
2.870282944E3,1.015274200E3
2.871321721E3,1.015274200E3
2.872359611E3,1.015274582E3
2.873398082E3,1.015274658E3
2.874435880E3,1.015274658E3
2.875474163E3,1.015274887E3
2.876511895E3,1.015280228E3
2.877550820E3,1.015283585E3
2.878589286E3,1.015286026E3
2.879627159E3,1.015289764E3
2.880667804E3,1.015291519E3
2.881704619E3,1.015291519E3
2.882743300E3,1.015291290E3
2.883780737E3,1.015290833E3
2.884818813E3,1.015289764E3
2.885856893E3,1.015289154E3
2.886895393E3,1.015287323E3
2.887933183E3,1.015287323E3
2.888973530E3,1.015286484E3
2.890012483E3,1.015286713E3
2.891050163E3,1.015286484E3
2.892088535E3,1.015284882E3
2.893127580E3,1.015283737E3
2.894166718E3,1.015280991E3
2.895205354E3,1.015278549E3
2.896243657E3,1.015277252E3
2.897281654E3,1.015276108E3
2.898319346E3,1.015276108E3
2.899356917E3,1.015276108E3
2.900394934E3,1.015276108E3
2.901433870E3,1.015273819E3
2.902471638E3,1.015273819E3
2.903508948E3,1.015273819E3
2.904547870E3,1.015272980E3
2.905585952E3,1.015272903E3
2.906625491E3,1.015272903E3
2.907663658E3,1.015272903E3
2.908701822E3,1.015272903E3
2.909740505E3,1.015271225E3
2.910779123E3,1.015269012E3
2.911818154E3,1.015266571E3
2.912856794E3,1.015266266E3
2.913895656E3,1.015265808E3
2.914933518E3,1.015265427E3
2.915972230E3,1.015265808E3
2.917010028E3,1.015267792E3
2.918049192E3,1.015270081E3
2.919087506E3,1.015270233E3
2.920126608E3,1.015272980E3
2.921164923E3,1.015272980E3
2.922203306E3,1.015272980E3
2.923241014E3,1.015271301E3
2.924276649E3,1.015269318E3
2.925313581E3,1.015264816E3
2.926351122E3,1.015264816E3
2.927387551E3,1.015265656E3
2.928424946E3,1.015265656E3
2.929461135E3,1.015261002E3
2.930496979E3,1.015259247E3
2.931533486E3,1.015256882E3
2.932569724E3,1.015254898E3
2.933607030E3,1.015254898E3
2.934644096E3,1.015257339E3
2.935681527E3,1.015264511E3
2.936717920E3,1.015269165E3
2.937753615E3,1.015271606E3
2.938791618E3,1.015271606E3
2.939828805E3,1.015270844E3
2.940866062E3,1.015270004E3
2.941903062E3,1.015269699E3
2.942939775E3,1.015269241E3
