Time;x;y;z
6.314250080E2;-3.381484985E1;3.474589539E1;-1.683648682E1
6.316751000E2;-1.054150391E1;4.246418762E1;-2.418719482E1
6.319254660E2;-3.785818481E1;3.431196594E1;1.464172363E0
6.321755880E2;-2.248071289E1;3.997758484E1;-1.660253906E1
6.324259407E2;-1.283535767E1;4.270686340E1;-1.692779541E1
6.326760637E2;-3.811883545E1;3.005079651E1;-4.531311035E0
6.329263987E2;-1.199447632E1;4.031697083E1;-1.941101074E1
6.331765207E2;-2.213772583E1;3.945500183E1;-1.056671143E1
6.334268762E2;-3.090917969E1;3.326722717E1;-1.152508545E1
6.336769982E2;-1.214547729E1;4.092802429E1;-1.456707764E1
6.339273642E2;-3.704653931E1;2.757347107E1;3.531677246E0
6.341774552E2;-1.710183716E1;3.804219055E1;-1.439190674E1
6.344278219E2;-1.633224487E1;3.832508850E1;-1.479815674E1
6.346779439E2;-3.220257568E1;3.172908020E1;-1.044604492E1
6.349283099E2;-1.297976685E1;3.751432800E1;-2.050653076E1
6.351784319E2;-2.545031738E1;3.698762512E1;-6.889648438E0
6.354288119E2;-2.872213745E1;3.239750671E1;-1.470745850E1
6.356789039E2;-6.788665771E0;3.540885925E1;-2.639111328E1
6.359292699E2;-3.529479980E1;3.051124573E1;-2.138977051E0
6.361793919E2;-1.832943726E1;3.659275818E1;-1.936187744E1
6.364297400E2;-2.169946289E1;3.712428284E1;-1.649517822E1
6.366798620E2;-3.521749878E1;3.021553040E1;-1.184991455E1
6.369301980E2;-9.359619141E0;3.892942810E1;-2.248773193E1
6.371803200E2;-3.415835571E1;3.207002258E1;-2.883850098E0
6.374306967E2;-2.089898682E1;3.523561096E1;-2.006219482E1
6.376808187E2;-1.119924927E1;3.582090759E1;-2.663989258E1
6.379311857E2;-3.321862793E1;3.210533142E1;-1.615240479E1
6.381812767E2;-1.055801392E1;4.095597839E1;-2.419958496E1
6.384316437E2;-2.781933594E1;3.923414612E1;-6.579650879E0
6.386817657E2;-2.439480591E1;3.892677307E1;-1.263397217E1
6.389321328E2;-5.963134766E0;4.179707336E1;-1.868035889E1
6.391822547E2;-3.649420166E1;3.095677185E1;4.493225098E0
6.394325656E2;-9.346588135E0;4.117460632E1;-1.789880371E1
6.396826876E2;-2.101913452E1;4.036521912E1;-8.036193848E0
6.399330546E2;-3.097921753E1;3.369148254E1;-1.059283447E1
6.401831766E2;-6.535522461E0;4.121659851E1;-1.888909912E1
6.404335577E2;-3.356893921E1;3.293275452E1;5.315734863E0
6.406836487E2;-1.471310425E1;4.064784241E1;-1.232818604E1
6.409340157E2;-1.698019409E1;4.125245667E1;-9.775451660E0
6.411841377E2;-3.340811157E1;3.269215393E1;-7.670471191E0
6.414344816E2;-5.634063721E0;4.047135925E1;-1.985729980E1
6.416846036E2;-2.978164673E1;3.551799011E1;3.563598633E0
6.419349396E2;-1.628970337E1;4.012388611E1;-1.189343262E1
6.421850616E2;-7.346099854E0;4.211152649E1;-1.417980957E1
6.424354374E2;-3.114697266E1;3.470634460E1;-4.176208496E0
6.426855594E2;-7.055267334E0;3.950004578E1;-2.077392578E1
6.429359254E2;-3.103390503E1;3.486341858E1;-3.705444336E-1
6.431860174E2;-2.768881226E1;3.509355164E1;-1.116027832E1
