Time;latitude;longitude;height;velocity;direction;horizontalAccuracy;verticalAccuracy
2.173973355E3;5.231859970E1;4.873387367E0;3.697166443E-1;0.000000000E0;3.582421875E2;1.000000000E1;1.000000000E1
2.174973387E3;5.231859970E1;4.873387367E0;4.699974060E-1;0.000000000E0;3.582421875E2;1.000000000E1;1.000000000E1
2.175973418E3;5.231859970E1;4.873387367E0;5.310325623E-1;0.000000000E0;3.582421875E2;1.000000000E1;1.000000000E1
2.176973446E3;5.231859970E1;4.873387367E0;7.022361755E-1;0.000000000E0;3.582421875E2;1.000000000E1;1.000000000E1
2.177973472E3;5.231859970E1;4.873387367E0;7.734031677E-1;0.000000000E0;3.582421875E2;1.000000000E1;1.000000000E1
2.178973496E3;5.231859970E1;4.873387367E0;7.101097107E-1;0.000000000E0;1.149609375E2;1.000000000E1;1.000000000E1
2.179973516E3;5.231861043E1;4.873398598E0;4.920921326E-1;2.700000107E-1;2.035546875E2;1.000000000E1;1.000000000E1
2.180973537E3;5.231860985E1;4.873395748E0;4.125022888E-1;1.899999976E-1;2.228906250E2;1.000000000E1;1.000000000E1
2.181973554E3;5.231860985E1;4.873395748E0;3.610496521E-1;0.000000000E0;2.228906250E2;1.000000000E1;1.000000000E1
2.182973571E3;5.231860985E1;4.873395748E0;3.410911560E-1;0.000000000E0;2.228906250E2;1.000000000E1;1.000000000E1
2.183973585E3;5.231860985E1;4.873395748E0;4.184226990E-1;0.000000000E0;2.228906250E2;1.000000000E1;1.000000000E1
2.184973599E3;5.231860985E1;4.873395748E0;4.164695740E-1;0.000000000E0;2.228906250E2;1.000000000E1;1.000000000E1
2.185973610E3;5.231861278E1;4.873390887E0;4.837303162E-1;2.800000012E-1;2.801953125E2;1.000000000E1;1.000000000E1
2.186973622E3;5.231861278E1;4.873387199E0;3.766746521E-1;2.500000000E-1;3.072656250E2;1.000000000E1;1.000000000E1
2.187973631E3;5.231860737E1;4.873380242E0;2.464866638E-1;2.800000012E-1;2.471484375E2;1.000000000E1;1.000000000E1
